Occupation,Total Employed (thou) 2011,% Men 2011,% Women 2011,% White 2011,% Black 2011,% Asian 2011,% Latinx 2011
"Helpers, construction trades",63,,8,,10.5,2.4,41.1
Construction and building inspectors,75,,4.7,,5,0.2,11.6
Elevator installers and repairers,30,,-,,-,-,-
Fence erectors,45,,-,,-,-,-
Hazardous materials removal workers,32,,-,,-,-,-
Highway maintenance workers,105,,2.5,,11,0.5,13.2
Rail-track laying and maintenance equipment operators,7,,-,,-,-,-
Septic tank servicers and sewer pipe cleaners,11,,-,,-,-,-
Miscellaneous construction and related workers,36,,-,,-,-,-
"Derrick, rotary drill, and service unit operators, oil, gas, and mining",46,,-,,-,-,-
"Earth drillers, except oil and gas",23,,-,,-,-,-
"Explosives workers, ordnance handling experts, and blasters",9,,-,,-,-,-
Mining machine operators,78,,1.6,,3,0,15.5
"Roof bolters, mining",10,,-,,-,-,-
"Roustabouts, oil and gas",17,,-,,-,-,-
Helpers--extraction workers,8,,-,,-,-,-
Other extraction workers,68,,1.7,,1.1,1.9,36.1
"Installation, maintenance, and repair occupations","4,883",,3.5,,7.9,2.9,15.8
"First-line supervisors of mechanics, installers, and repairers",313,,6.8,,6.4,0.9,9.7
"Computer, automated teller, and office machine repairers",305,,9,,11,6.3,9.9
Radio and telecommunications equipment installers and repairers,150,,7.7,,10.1,3.2,10.6
Avionics technicians,16,,-,,-,-,-
"Electric motor, power tool, and related repairers",35,,-,,-,-,-
"Electrical and electronics installers and repairers, transportation equipment",6,,-,,-,-,-
"Electrical and electronics repairers, industrial and utility",14,,-,,-,-,-
"Electronic equipment installers and repairers, motor vehicles",20,,-,,-,-,-
Electronic home entertainment equipment installers and repairers,38,,-,,-,-,-
Security and fire alarm systems installers,53,,0,,6.3,1,17.8
Aircraft mechanics and service technicians,164,,3.1,,8.9,3.1,17.2
Automotive body and related repairers,140,,1.2,,6.9,2.9,18.1
Automotive glass installers and repairers,17,,-,,-,-,-
Automotive service technicians and mechanics,855,,1.4,,7.8,4.2,19.7
Bus and truck mechanics and diesel engine specialists,312,,0.7,,4,2.5,15.1
Heavy vehicle and mobile equipment service technicians and mechanics,199,,1.3,,5,1.2,11.1
Small engine mechanics,52,,0.3,,6.4,0.1,8.6
"Miscellaneous vehicle and mobile equipment mechanics, installers, and repairers",95,,1.6,,6.3,0.1,21
Control and valve installers and repairers,24,,-,,-,-,-
"Heating, air conditioning, and refrigeration mechanics and installers",338,,0.8,,5.8,1.9,16.9
Home appliance repairers,43,,-,,-,-,-
Industrial and refractory machinery mechanics,433,,2.5,,7.1,3.8,15.2
"Maintenance and repair workers, general",422,,3.2,,12.2,1.9,17.4
"Maintenance workers, machinery",38,,-,,-,-,-
Millwrights,58,,2,,4.7,0.8,3
Electrical power-line installers and repairers,124,,0.2,,8.6,0.4,11.5
Telecommunications line installers and repairers,201,,4.3,,12.2,1.1,17.3
Precision instrument and equipment repairers,76,,16.2,,5,2.7,21.6
Wind turbine service technicians,2,,-,,-,-,-
"Coin, vending, and amusement machine servicers and repairers",46,,-,,-,-,-
Commercial divers,0,,-,,-,-,-
Locksmiths and safe repairers,28,,-,,-,-,-
Manufactured building and mobile home installers,7,,-,,-,-,-
Riggers,14,,-,,-,-,-
Signal and track switch repairers,5,,-,,-,-,-
